Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
360 ONE Dynamic Bond Fund - Regular Plan,4,10.36,1/23,Moderately High,Debt - Bond,0.52,2013-06-24,686.00
360 ONE Liquid Fund - Regular Plan,2,7.01,30/45,Low to Moderate,Debt,0.32,2013-11-13,796.00
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,4,9.07,11/22,Moderate,Debt - Banking,0.73,2008-04-24,"8,991"
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,4,9.32,13/21,Moderate,Debt - Bond,0.51,1997-03-03,"28,436"
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,1,16.50,3/14,High,Debt,1.54,2015-04-17,993.00
Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,--,--,--,Moderate,Debt,0.20,2024-08-13,91.00
Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,--,--,--,Moderate,Debt - Govt Instruments,0.19,2024-07-05,46.00
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular Plan,--,9.80,39/95,Low to Moderate,Debt,0.35,2022-10-13,384.00
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Regular Plan,--,7.83,88/95,Low to Moderate,Debt,0.45,2022-12-02,50.00
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Regular Plan,--,8.81,69/95,Low to Moderate,Debt,0.32,2022-03-29,"1,589"
Aditya Birla Sun Life CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.44,2024-11-13,79.00
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund - Regular Plan,--,--,--,Moderate,Debt,0.40,2024-10-15,352.00
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.45,2024-10-08,215.00
Aditya Birla Sun Life CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.36,2024-12-17,"3,232"
Aditya Birla Sun Life CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.35,2025-03-21,"1,098"
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Regular Plan,--,8.82,68/95,Low to Moderate,Debt,0.79,2023-03-15,23.00
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Regular Plan,--,10.15,32/95,Moderate,Debt,0.37,2022-10-19,644.00
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Regular Plan,--,7.74,90/95,Low to Moderate,Debt,0.36,2022-10-07,231.00
Aditya Birla Sun Life CRISIL IBX Gilt April 2033 Index Fund - Regular Plan,--,10.53,21/95,Moderate,Debt,0.47,2023-12-22,86.00
Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund - Regular Plan,--,8.83,67/95,Low to Moderate,Debt,0.56,2024-06-05,11.00
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Regular Plan,--,10.36,27/95,Moderate,Debt,0.57,2023-02-14,161.00
