Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
360 ONE Dynamic Bond Fund - Regular Plan,4,10.36,Jan-23,Moderately High,Debt - Bond,0.52,24-06-2013,686
360 ONE Liquid Fund - Regular Plan,2,7.01,30/45,Low to Moderate,Debt,0.32,13-11-2013,796
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,4,9.07,Nov-22,Moderate,Debt - Banking,0.73,24-04-2008,"8,991"
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,4,9.32,13/21,Moderate,Debt - Bond,0.51,03-03-1997,"28,436"
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,1,16.5,Mar-14,High,Debt,1.54,17-04-2015,993
Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,--,--,--,Moderate,Debt,0.2,13-08-2024,91
Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,--,--,--,Moderate,Debt - Govt Instruments,0.19,05-07-2024,46
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular Plan,--,9.8,39/95,Low to Moderate,Debt,0.35,13-10-2022,384
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Regular Plan,--,7.83,88/95,Low to Moderate,Debt,0.45,02-12-2022,50
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Regular Plan,--,8.81,69/95,Low to Moderate,Debt,0.32,29-03-2022,"1,589"
Aditya Birla Sun Life CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.44,13-11-2024,79
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund - Regular Plan,--,--,--,Moderate,Debt,0.4,15-10-2024,352
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.45,08-10-2024,215
Aditya Birla Sun Life CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.36,17-12-2024,"3,232"
Aditya Birla Sun Life CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.35,21-03-2025,"1,098"
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Regular Plan,--,8.82,68/95,Low to Moderate,Debt,0.79,15-03-2023,23
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Regular Plan,--,10.15,32/95,Moderate,Debt,0.37,19-10-2022,644
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Regular Plan,--,7.74,90/95,Low to Moderate,Debt,0.36,07-10-2022,231
Aditya Birla Sun Life CRISIL IBX Gilt April 2033 Index Fund - Regular Plan,--,10.53,21/95,Moderate,Debt,0.47,22-12-2023,86
Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund - Regular Plan,--,8.83,67/95,Low to Moderate,Debt,0.56,05-06-2024,11
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Regular Plan,--,10.36,27/95,Moderate,Debt,0.57,14-02-2023,161
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,--,5.99,34/35,Low,Debt,0.43,13-03-2023,40
Aditya Birla Sun Life Debt Plus Arbitrage FOF - Regular Plan,--,8.71,--,Moderate,Debt,0.28,29-12-2006,410
Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan,5,9.45,Apr-23,Moderate,Debt - Bond,1.23,27-09-2004,"1,950"
Aditya Birla Sun Life Floating Rate Fund - Regular Plan,5,8.49,11-Dec,Low to Moderate,Debt,0.43,23-03-2009,"13,658"
Aditya Birla Sun Life Government Securities Fund - Regular Plan,3,6.79,29/32,Moderate,Debt - Govt Instruments,1.14,11-10-1999,"2,463"
Aditya Birla Sun Life Income Fund - Regular Plan,3,8.23,Aug-13,Moderate,Debt,1.16,21-10-1995,"2,317"
Aditya Birla Sun Life Liquid Fund - Regular Plan,4,7.2,Dec-45,Moderate,Debt,0.34,29-03-2004,"44,546"
Aditya Birla Sun Life Long Duration Fund - Regular Plan,--,8.8,02-Sep,Moderate,Debt,1.09,08-08-2022,197
Aditya Birla Sun Life Low Duration Fund - Regular Plan,2,7.64,18/20,Low to Moderate,Debt,1.2,14-05-1998,"13,528"
Aditya Birla Sun Life Medium Term Plan - Regular Plan,1,13.82,Jan-13,Moderately High,Debt,1.54,25-03-2009,"2,504"
Aditya Birla Sun Life Money Manager Fund - Regular Plan,5,8.12,Jul-23,Moderate,Debt,0.35,10-10-2005,"26,590"
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Regular Plan,--,8.65,72/95,Low to Moderate,Debt,0.51,28-01-2022,"3,869"
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Regular Plan,--,8.42,78/95,Low to Moderate,Debt,0.35,24-09-2021,"9,224"
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Regular Plan,--,6.89,95/95,Low,Debt,0.34,28-09-2022,37
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Regular Plan,--,9.21,54/95,Low to Moderate,Debt,0.5,10-03-2023,36
Aditya Birla Sun Life Overnight Fund - Regular Plan,3,6.33,22/35,Low,Debt,0.19,01-11-2018,"7,174"
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Regular Plan,1,6.55,25/25,Moderate,Debt,2.07,11-03-2019,18
Aditya Birla Sun Life Savings Fund - Regular Plan,4,8.09,Jan-24,Moderate,Debt,0.54,27-11-2001,"18,981"
Aditya Birla Sun Life Short Term Fund - Regular Plan,4,9.07,Oct-25,Moderate,Debt,0.99,09-05-2003,"9,193"
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Regular Plan,--,8.92,01-May,Very High,Debt,0.23,31-10-2023,87
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Regular Plan,--,8.72,02-May,Very High,Debt,0.2,31-10-2023,174
Angel One Nifty 1D Rate Liquid ETF - Growth,--,--,--,Low,Debt,0.27,25-03-2025,120
Axis Banking & PSU Debt Fund,4,8.99,13/22,Moderate,Debt - Banking,0.63,08-06-2012,"13,470"
Axis Corporate Bond Fund - Regular Plan,4,9.65,Apr-21,Moderate,Debt - Bond,0.92,13-07-2017,"8,119"
Axis Credit Risk Fund - Regular Plan,3,9.08,Jul-14,High,Debt,1.57,15-07-2014,361
Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund - Regular Plan,--,9.79,41/95,Low to Moderate,Debt,0.37,24-01-2023,79
Axis CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund - Regular Plan,--,9.18,56/95,Low to Moderate,Debt,0.4,27-02-2023,37
Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.25,22-11-2024,88
Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.3,11-12-2024,44
Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.49,24-09-2024,751
Axis CRISIL IBX SDL June 2034 Debt Index Fund - Regular Plan,--,10.83,Jul-95,Moderate,Debt,0.45,21-03-2024,16
Axis CRISIL IBX SDL May 2027 Index Fund - Regular Plan,--,9.25,53/95,Low to Moderate,Debt,0.29,23-02-2022,"2,239"
Axis Dynamic Bond Fund - Regular plan,3,9.32,Jun-23,Moderate,Debt - Bond,0.63,27-04-2011,"1,309"
Axis Floater Fund - Regular Plan,1,9.72,01-Dec,Moderate,Debt,0.53,29-07-2021,180
Axis Gilt Fund,4,8.85,Nov-32,Moderate,Debt - Govt Instruments,0.81,23-01-2012,770
Axis Income Plus Arbitrage Active FoF - Regular Plan,--,9.26,--,Moderate,Debt,0.45,28-01-2020,383
Axis Liquid Fund,5,7.24,Apr-45,Low to Moderate,Debt,0.22,09-10-2009,"36,089"
Axis Long Duration Fund - Regular Plan,--,6.16,08-Sep,Moderate,Debt,0.76,27-12-2022,364
